Date,cost-per-transaction,fees-usd-per-transaction,hash-rate,mvrv,n-payments-per-block,n-transactions-per-block,n-unique-addresses,nvt,nvts,trade-volume
2022-12-22,53.269509066678324,1.060329588765068,238732853.41745618,0.8444300637858343,4992.288888888889,2008.7481481481482,665463.0,22.573797193142703,9.260843981694165,66127294.915199995
2022-12-23,51.81294119791707,1.0687621130547302,238833600.5273159,0.8440196970584235,5326.568181818182,2075.1969696969695,680283.0,22.663848512721643,9.350168502388366,86287396.806
2022-12-24,45.434064119202915,1.3865202990608194,240369602.33241302,0.8454369218652518,6486.539325842697,2397.067415730337,562534.0,22.26850001605778,9.4400270271971,79608649.3414
2022-12-25,73.41799847928871,1.1243105184092663,229161243.92893544,0.8471376909753378,3721.673758865248,1456.127659574468,522307.0,26.062129707099924,9.50812913403151,36338471.991
2022-12-26,61.96228120186188,1.3042991788766125,229309701.5759388,0.8471992714813698,4187.775193798449,1732.5891472868218,548937.0,31.609124673739394,9.56718200538548,27262542.0348
2022-12-27,52.18005617872848,1.673390459035465,228283305.89436337,0.8476696386767739,5110.130434782609,2081.3826086956524,593337.0,32.14220208224795,9.666142608064513,39836135.186000004
2022-12-28,65.37753015938664,1.2617979163669042,222004887.140393,0.8431688779207334,3954.5,1624.6964285714287,661225.0,26.184678543212918,9.853460367760082,83342037.16
2022-12-29,56.31437550861648,1.2853292413908368,228283305.89436337,0.8386482682404275,4829.375886524823,1886.2056737588653,668338.0,23.865792941417098,9.907813272728072,93582884.88159999
2022-12-30,57.438107013825565,1.2394789362350735,229790126.39531627,0.8367052351856503,4762.107594936709,1841.867088607595,726125.0,21.93170245621463,10.070371422981948,63867567.491100006
2022-12-31,67.57823364355252,0.8339336332358197,236319681.89944547,0.8360043282496079,4094.608974358974,1553.3653846153845,618594.0,22.199236124715725,10.139693371454474,85716151.24679999
2023-01-01,86.25052580362097,0.6286322052080888,253145844.1600861,0.8373319736166803,3344.6387096774192,1209.7806451612903,509337.0,24.774019757270537,10.230147124272516,67960598.37699999
2023-01-02,71.71378193141723,0.6432806822184286,256661758.6623095,0.8401643426756328,3654.128205128205,1470.173076923077,575250.0,32.05048449967505,10.311817460568534,40104665.254499994
2023-01-03,59.700048428926,0.7740273566555181,263442450.91659752,0.8465926431764947,4138.694805194805,1766.590909090909,645565.0,27.078009952159153,10.460479581081515,40842938.984400004
2023-01-04,55.585529499769585,0.8952919939922753,271973650.62060976,0.8480586737711111,4521.986013986014,1943.6083916083917,652878.0,23.741458802123127,10.723281797803736,67127812.416
2023-01-05,60.89478758058699,0.8577708787928303,264405031.16691107,0.851593084451497,4368.668789808918,1779.56050955414,682119.0,22.130758427854907,10.93007329757526,88704412.4208
2023-01-06,69.9719082779702,0.8110331136469049,267006705.11450562,0.8525508086117981,3863.677777777778,1533.7277777777779,685990.0,22.733867811973095,10.976952567133361,61580958.7898
2023-01-07,67.25955311170463,0.5764359796839894,270907684.7651947,0.854173700120506,3955.564935064935,1601.8116883116884,601071.0,19.966659424411112,11.152824854486347,77808186.14240001
2023-01-08,71.47690336585038,0.5033456735426806,269015964.35747737,0.8594316111204344,3663.6797385620916,1493.3856209150326,565595.0,23.344961278417806,11.212638655124596,24729147.072
2023-01-09,57.65908678406483,0.6525319914273685,267133266.33227566,0.869851377382054,4264.256578947368,1890.4407894736842,662916.0,26.952790924704388,11.310979887504612,39001186.8565
2023-01-10,61.47665473139135,0.6382810533499718,264757317.18927184,0.874640544987053,4019.8224852071007,1791.7692307692307,695664.0,20.00400251720163,11.680168963173431,101631953.3292
2023-01-11,56.513229743152415,0.754218250738659,268262719.34870216,0.8783106797840342,4416.517006802721,1955.7414965986395,661284.0,20.10409885987835,11.994073844838727,77597338.296
2023-01-12,55.84296989911358,0.9637449481673204,269231176.8192751,0.9032812165100369,4712.41059602649,2092.582781456954,717816.0,21.445290366711276,12.366812817319335,104239840.81199999
2023-01-13,60.96756680138656,1.0032326856572598,267778490.6134157,0.9376367787793095,4708.905660377359,1990.874213836478,743545.0,20.551559427763827,12.966976141317936,246713098.0032
2023-01-14,72.74800267533676,0.9410532110280104,262694088.8929078,1.0172490752254675,4238.590643274853,1812.1637426900584,725858.0,18.03929976204864,13.451459887970078,194200560.4664
2023-01-15,84.73579927925408,0.658415965623041,266810033.14284277,1.0556843892979395,3662.8282208588957,1546.5398773006134,605147.0,19.42275435908055,14.712544535173357,296810840.115
2023-01-16,64.61226372019011,0.7165382674219957,269802335.8626867,1.0597875044553895,4463.1292517006805,2059.891156462585,677371.0,25.120318038854837,14.813284322047783,76063182.273
2023-01-17,67.86297279195048,0.8903605120159045,272242215.30192715,1.067779477945222,4263.974358974359,1978.9423076923076,680259.0,24.26343273969701,15.004557896471981,158791360.62480003
2023-01-18,62.37650737054614,1.1304438323808375,272968676.8170089,1.0734017331464274,4789.242857142857,2143.1785714285716,681758.0,22.19239238943458,15.199106872328636,134819553.162
2023-01-19,64.31686164848296,1.1324789227278294,274750496.50775075,1.0640936794243052,4725.020689655173,2061.5103448275863,684950.0,20.296991853999756,15.293920360162414,256388158.84379998
2023-01-20,60.50433763664141,1.4196575555711577,276898595.5755731,1.057807920703233,5399.371212121212,2241.0757575757575,702080.0,22.119834218593194,15.282671903329396,121156561.916
2023-01-21,69.85914975795555,1.2963284211946082,273639463.8983506,1.1228527897125988,4933.5,2085.942028985507,676478.0,23.843249636910826,15.6271240422695,193760533.9865
2023-01-22,87.08869015872057,1.2500147320177462,269076644.02659345,1.1578638790199092,4011.8278145695363,1660.6622516556292,610248.0,23.196005905737206,16.92576360285849,215287571.4
2023-01-23,77.85776979236783,1.1599370735883479,269349895.8564696,1.1546399338029698,4051.9177215189875,1858.9177215189873,651866.0,27.126786481595687,16.93552228870617,117210442.1285
2023-01-24,64.57466807152272,1.3270872612008404,272286316.9213072,1.1586855744624325,5045.364341085271,2271.0852713178297,660507.0,24.732705865902336,17.190027975823003,124568046.4119
2023-01-25,82.28838400110719,0.9552800765348652,265078737.94397846,1.155406869846277,3891.697142857143,1752.462857142857,687864.0,23.78880272912281,17.291075828841105,131120352.98650001
2023-01-26,76.36651119328128,0.9409602469936508,274421895.8775527,1.1580397138803544,4313.006451612903,1911.374193548387,669489.0,23.266072195779618,17.70904781223463,197284741.89240003
2023-01-27,73.98030256647682,1.0857831571509569,277091369.57285964,1.1630871162605887,4590.272727272727,1968.6948051948052,699439.0,25.098557056881244,17.944911093912687,137208556.9176
2023-01-28,90.91529353368553,0.9946038528610108,282964211.70253485,1.1620817524372593,3845.7916666666665,1600.2916666666667,637939.0,24.75074937802407,18.047941926246114,143458157.12420002
2023-01-29,92.04566865932546,0.7673363636988508,290972632.78845567,1.1666668707136927,3800.664596273292,1606.1055900621118,616633.0,31.617036635248507,18.321071749939236,48265880.5434
2023-01-30,65.66733758367177,0.844478292718669,295092344.67382395,1.1887802303679933,4698.231884057971,2245.717391304348,667280.0,32.51147771039664,18.945186428644238,133086685.77950001
2023-01-31,54.079864761304925,1.366128716647847,291478680.6472486,1.1701513153589642,6013.913043478261,2726.086956521739,709466.0,23.39798127558712,18.82820623979384,156949934.6001
2023-02-01,58.87856102710315,1.4805184239158928,289179153.6105177,1.161971768571513,5437.284671532847,2522.3430656934306,745886.0,20.771553492549902,18.889637707632996,106007672.48850001
