Date,datetime,open,high,low,close,volume,name
9470,2024-04-03 02:00:00,65820.28,66046.9,65703.67,65927.91,846.28,BTC
9471,2024-04-03 03:00:00,65927.91,66312.21,65780.5,66242.82,1029.31,BTC
9472,2024-04-03 04:00:00,66242.82,66490.14,66154.92,66356.74,779.02,BTC
9473,2024-04-03 05:00:00,66356.74,66394.72,65965.38,66116.05,648.94,BTC
9474,2024-04-03 06:00:00,66116.05,66423.62,66091.14,66388.68,704.92,BTC
9475,2024-04-03 07:00:00,66388.68,66516.8,66166.09,66185.8,571.85,BTC
9476,2024-04-03 08:00:00,66185.8,66673.46,66031.4,66552.41,1269.84,BTC
9477,2024-04-03 09:00:00,66552.41,66637.54,66366.84,66514.53,614.61,BTC
9478,2024-04-03 10:00:00,66514.53,66549.45,66060.1,66218.58,836.65,BTC
9479,2024-04-03 11:00:00,66218.58,66241.71,65578.88,66095.99,1298.09,BTC
9480,2024-04-03 12:00:00,66095.99,66243.97,65777.4,65940.09,850.98,BTC
9481,2024-04-03 13:00:00,65940.09,66057.46,65664.21,65830.34,1465.28,BTC
9482,2024-04-03 14:00:00,65830.34,66925.93,65830.14,66660.73,3291.44,BTC
9483,2024-04-03 15:00:00,66660.73,66675.54,65751.96,65849.91,2076.06,BTC
9484,2024-04-03 16:00:00,65849.91,66601.66,65815.93,66215.45,1432.57,BTC
9485,2024-04-03 17:00:00,66215.45,66398.36,65867.23,65992.48,1030.11,BTC
9486,2024-04-03 18:00:00,65992.48,66137.19,65510.51,66025.76,1447.92,BTC
9487,2024-04-03 19:00:00,66025.76,66163.31,65758.18,65827.06,1434.1,BTC
9488,2024-04-03 20:00:00,65827.06,65870.87,65587.45,65739.9,900.44,BTC
9489,2024-04-03 21:00:00,65739.9,65966.47,65512.06,65943.67,517.61,BTC
9490,2024-04-03 22:00:00,65943.67,66258.36,65875.39,66164.76,673.6,BTC
9491,2024-04-03 23:00:00,66164.76,66311.26,65974.04,65986.11,625.15,BTC
9492,2024-04-04 00:00:00,65986.11,66377.96,65861.56,66306.75,648.5,BTC
9493,2024-04-04 01:00:00,66306.75,66316.13,66061.15,66178.52,582.94,BTC
9494,2024-04-04 02:00:00,66178.52,66183.69,65514.99,65774.82,971.35,BTC
9495,2024-04-04 03:00:00,65774.82,65822.05,65569.51,65636.4,690.13,BTC
9496,2024-04-04 04:00:00,65636.4,65708.02,65081.42,65486.97,1372.08,BTC
9497,2024-04-04 05:00:00,65486.97,65700.64,65390.3,65595.86,740.18,BTC
9498,2024-04-04 06:00:00,65595.86,65809.4,65547.81,65766.52,451.23,BTC
9499,2024-04-04 07:00:00,65766.52,66270.72,65669.97,66071.53,1069.25,BTC
9500,2024-04-04 08:00:00,66071.53,66398.03,66005.63,66214.76,739.92,BTC
9501,2024-04-04 09:00:00,66214.76,66398.16,66169.04,66265.92,676.06,BTC
9502,2024-04-04 10:00:00,66265.92,66470.21,66141.43,66279.15,791.49,BTC
9503,2024-04-04 11:00:00,66279.15,66428.09,66124.89,66341.64,501.83,BTC
9504,2024-04-04 12:00:00,66341.64,66829.88,66325.64,66713.68,2041.54,BTC
9505,2024-04-04 13:00:00,66713.68,67522.45,66696.23,67284.04,3295.57,BTC
9506,2024-04-04 14:00:00,67284.04,67991.35,67121.95,67752.81,2696.6,BTC
9507,2024-04-04 15:00:00,67752.81,67846.55,67483.64,67673.99,1616.69,BTC
9508,2024-04-04 16:00:00,67673.99,68206.38,67562.36,67863.01,1720.31,BTC
9509,2024-04-04 17:00:00,67863.01,68940.95,67782.57,68887.7,2921.08,BTC
9510,2024-04-04 18:00:00,68887.7,69343.32,68561.47,68617.38,4291.13,BTC
9511,2024-04-04 19:00:00,68617.38,69143.06,68382.09,68519.76,3576.58,BTC
9512,2024-04-04 20:00:00,68519.76,68595.42,67350.08,67947.99,2547.17,BTC
9513,2024-04-04 21:00:00,67947.99,68144.6,67547.65,67795.45,676.94,BTC
9514,2024-04-04 22:00:00,67795.45,68055.28,67625.83,67954.33,565.05,BTC
9515,2024-04-04 23:00:00,67954.33,68577.52,67908.98,68523.79,1489.88,BTC
9516,2024-04-05 00:00:00,68523.79,68772.34,68200.44,68643.28,831.07,BTC
9517,2024-04-05 01:00:00,68643.28,68650.25,67860.01,68200.59,777.46,BTC
9518,2024-04-05 02:00:00,68200.59,68204.48,67479.29,67631.56,1324.83,BTC
9519,2024-04-05 03:00:00,67631.56,68053.16,67601.65,67889.2,1141.64,BTC
9520,2024-04-05 04:00:00,67889.2,68048.15,67479.97,67668.89,931.24,BTC
9521,2024-04-05 05:00:00,67668.89,67769.62,66418.34,66919.18,2183.7,BTC
9522,2024-04-05 06:00:00,66919.18,67183.97,66796.25,67161.26,1272.6,BTC
9523,2024-04-05 07:00:00,67161.26,67161.66,66833.77,66920.65,830.1,BTC
9524,2024-04-05 08:00:00,66920.65,67666.45,66918.22,67143.46,875.47,BTC
9525,2024-04-05 09:00:00,67143.46,67143.58,66389.26,66814.48,1154.53,BTC
9526,2024-04-05 10:00:00,66814.48,67192.29,66725.29,67038.69,556.25,BTC
9527,2024-04-05 11:00:00,67038.69,67051.02,66404.57,66479.86,1141.18,BTC
9528,2024-04-05 12:00:00,66479.86,66913.24,65994.65,66905.76,2774.82,BTC
9529,2024-04-05 13:00:00,66905.76,67627.47,66552.59,67534.09,2282.82,BTC
9530,2024-04-05 14:00:00,67534.09,68611.4,67366.8,68187.98,3309.97,BTC
9531,2024-04-05 15:00:00,68187.98,68283.76,67677.18,68247.67,1576.91,BTC
9532,2024-04-05 16:00:00,68247.67,68417.93,67739.75,67992.34,1465.97,BTC
9533,2024-04-05 17:00:00,67992.34,68022.64,67379.33,67450.2,1401.27,BTC
9534,2024-04-05 18:00:00,67450.2,67724.89,67312.34,67635.67,1395.91,BTC
9535,2024-04-05 19:00:00,67635.67,68085.93,67391.53,67399.44,3359.52,BTC
9536,2024-04-05 20:00:00,67399.44,67784.93,67342.18,67672.84,1223.98,BTC
